,Industry,Year,Contribution_by_Gdp,Growth_of_GDP,"0 - 9,999","10,000 - 14999","15,000 - 19999","20,000 - 24999","25,000 - 29999","30,000 - 49999","50,000 - 99999",100000+,TOTAL
50,Accommodation And Food Service Activities,2013,1.2,-4.6,331,280,"1,295","9,869","13,111","28,706","17,690","2,397","73,679"
51,Information And Communication,2013,1.4,12.5,57,58,124,"3,181","10,000","48,942","28,702","1,646","92,710"
52,Financial And Insurance Activities,2013,6.6,8.2,-,-,357,"10,879","3,062","8,374","33,896","10,461","67,029"
53,Real Estate Activities,2013,7.9,4.1,166,445,64,404,861,977,791,117,"3,825"
54,"Professional, Scientific And Technical Activities",2013,1.0,6.7,"2,856","7,596","1,077","6,919","15,908","15,559","13,507","1,997","65,419"
55,Administrative And Support Service Activities,2013,1.2,1.2,48,175,454,960,"1,506",971,589,146,"4,849"
56,Public Administration And Defence; Compulsory Social Security,2013,4.4,2.8,"1,450","1,039","6,888","34,837","34,067","84,846","50,419","4,284","217,830"
57,Education,2013,5.3,6.3,223,"4,796","46,740","89,016","131,362","78,326","38,645","11,741","400,849"
58,Human Health And Social Work Activities,2013,1.6,7.7,-,"1,383","13,152","25,047","36,218","22,798","10,874","3,305","112,777"
59,"Arts, Entertainment And Recreation",2013,0.1,3.0,-,82,779,"1,481","2,133","1,347",645,197,"6,664"
60,Other Service Activities,2013,0.6,7.3,-,204,"1,910","5,492","8,525","7,522","5,595",508,"29,756"
61,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2013,0.5,1.5,-,303,802,"18,336","24,929","33,764","31,555",-,"109,689"
62,Activities Of Extraterritorial Organizations And Bodies,2013,-2.6,,-,-,-,257,76,252,475,16,"1,076"
63,"Agriculture, Forestry And Fishing",2014,27.5,4.4,"13,312","21,703","81,626","77,773","49,372","50,452","33,670","5,373","333,281"
64,Mining And Quarrying,2014,0.8,14.9,82,115,"3,924","1,537","2,391","2,751","2,050",-,"12,850"
65,Manufacturing,2014,10.0,2.5,773,"1,101","13,563","47,022","61,063","81,879","76,193","5,862","287,456"
66,"Electricity, Gas, Steam And Air Conditioning Supply",2014,1.0,7.3,-,130,180,"3,379",923,"1,907","7,709","1,052","15,280"
67,"Water Supply; Sewerage, Waste Management And Remediation Activities",2014,0.8,3.9,,,,"3,313","2,685","3,259","1,056",103,"10,416"
68,Construction,2014,4.9,13.1,-,574,"2,447","29,289","16,127","50,060","41,943","3,259","143,699"
69,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2014,8.0,6.9,94,"1,680","4,343","25,891","36,375","75,733","66,604","9,536","220,256"
70,Transportation And Storage,2014,8.6,5.5,854,288,786,"9,811","18,434","28,129","20,080","1,339","79,721"
71,Accommodation And Food Service Activities,2014,0.9,-16.7,476,225,"1,138","8,788","14,654","26,579","18,850","2,455","73,165"
72,Information And Communication,2014,1.2,14.5,96,93,"1,235","6,097","10,575","46,253","31,670","3,144","99,163"
73,Financial And Insurance Activities,2014,6.8,8.3,-,-,"1,408","7,198","3,527","9,042","36,031","10,378","67,584"
74,Real Estate Activities,2014,7.7,5.6,226,309,188,341,657,"1,118",923,121,"3,883"
75,"Professional, Scientific And Technical Activities",2014,1.0,4.1,"2,643","4,521",970,"6,129","17,753","18,506","14,538","1,542","66,602"
76,Administrative And Support Service Activities,2014,1.1,2.4,50,162,490,740,"1,497","1,131",677,151,"4,898"
77,Public Administration And Defence; Compulsory Social Security,2014,4.5,5.6,"1,555","1,216","29,154","50,015","35,540","77,568","32,508","5,880","233,436"
78,Education,2014,5.2,7.8,980,"7,700","18,893","67,197","118,790","118,881","103,555","13,809","449,805"
79,Human Health And Social Work Activities,2014,1.7,8.1,-,881,"10,363","22,138","40,999","28,139","12,320","3,419","118,259"
80,"Arts, Entertainment And Recreation",2014,0.1,3.0,-,107,794,"1,330","2,079","1,098",803,515,"6,726"
81,Other Service Activities,2014,0.6,6.5,-,177,"1,452","4,782","9,583","8,629","5,348",518,"30,489"
82,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2014,0.5,1.5,-,240,696,"16,573","28,260","36,941","29,397",-,"112,107"
83,Activities Of Extraterritorial Organizations And Bodies,2014,-2.5,,-,-,-,195,86,295,312,220,"1,108"
84,"Agriculture, Forestry And Fishing",2015,30.2,5.3,"10,991","17,833","85,016","85,634","48,156","53,091","33,093","2,932","336,746"
85,Mining And Quarrying,2015,0.9,12.3,260,250,"4,517","1,784","2,807","3,189","2,389",-,"15,196"
86,Manufacturing,2015,9.4,3.6,"1,076","1,297","13,891","49,645","62,759","85,212","80,974","5,983","300,837"
87,"Electricity, Gas, Steam And Air Conditioning Supply",2015,1.4,11.5,-,82,155,"3,844","1,024","2,170","8,834","1,197","17,306"
88,"Water Supply; Sewerage, Waste Management And Remediation Activities",2015,0.7,2.7,-,-,-,"3,800","3,101","3,745","1,284",772,"12,702"
89,Construction,2015,4.9,13.8,-,"5,176","4,231","31,151","17,369","53,561","46,783","4,698","162,969"
90,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2015,7.5,5.9,504,"1,856","4,699","28,068","39,599","82,229","72,649","10,260","239,864"
91,Transportation And Storage,2015,8.1,8.0,"1,003",571,928,"10,451","19,665","29,996","21,508","1,490","85,612"
92,Accommodation And Food Service Activities,2015,0.8,-1.3,231,152,592,"9,378","15,688","28,461","20,276","2,585","77,363"
93,Information And Communication,2015,1.5,7.4,895,917,"1,408","6,689","11,637","50,732","34,834","3,492","110,604"
94,Financial And Insurance Activities,2015,6.7,9.4,-,-,"1,915","8,038","3,919","10,074","40,121","11,606","75,673"
95,Real Estate Activities,2015,7.5,7.2,237,326,194,358,692,"1,183",980,126,"4,096"
96,"Professional, Scientific And Technical Activities",2015,0.9,3.6,"2,813","4,815","1,009","6,485","18,797","19,617","15,481","1,637","70,654"
