,Industry,Year,Contribution_to_Gdp,Growth_of_GDP,Wage_bracket_0_to_9999,Wage_bracket_10000_to_14999,Wage_bracket_15000_to_19999,Wage_bracket_20000_to_24999,Wage_bracket_25000_to_29999,Wage_bracket_30000_to_49999,Wage_bracket_50000_to_99999,Wage_bracket_100000_plus,TOTAL
112,Transportation And Storage,2016,8.1,6.5,1003,571,928,10451,19665,29996,21508,1490,85612
113,Accommodation And Food Service Activities,2016,0.7,13.3,231,152,592,9378,15688,28461,20276,2585,77363
114,Information And Communication,2016,1.5,9.9,895,917,1408,6689,11637,50732,34834,3492,110604
115,Financial And Insurance Activities,2016,7.1,6.9,,,1915,8038,3919,10074,40121,11606,75673
116,Real Estate Activities,2016,7.6,8.8,237,326,194,358,692,1183,980,126,4096
117,"Professional, Scientific And Technical Activities",2016,0.9,5.1,2813,4815,1009,6485,18797,19617,15481,1637,70654
118,Administrative And Support Service Activities,2016,1.0,3.9,108,193,535,807,1639,1233,744,183,5442
119,Public Administration And Defence; Compulsory Social Security,2016,3.9,5.6,2653,2335,30429,48922,34930,75968,30022,6021,231280
120,Education,2016,4.4,5.3,2116,7122,21877,77983,140233,138169,120910,16196,524606
121,Human Health And Social Work Activities,2016,1.7,4.8,,824,11104,23858,44428,30375,13348,3678,127615
122,"Arts, Entertainment And Recreation",2016,0.1,5.4,,45,832,1403,2209,1153,852,534,7028
123,Other Service Activities,2016,0.6,6.0,,504,1583,4097,10284,10267,5760,659,33154
124,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2016,0.5,1.4,,312,899,16037,29698,38699,28711,,114356
125,Activities Of Extraterritorial Organizations And Bodies,2016,-2.8,,,,,216,105,320,332,244,1217
126,"Agriculture, Forestry And Fishing",2017,34.8,1.9,7225,13137,44255,28262,49063,133384,53516,3263,332105
127,Mining And Quarrying,2017,0.8,4.5,258,248,3882,1770,2785,3164,2971,,15079
128,Manufacturing,2017,8.0,0.5,1085,1308,9808,27820,44289,88576,124458,6034,303378
129,"Electricity, Gas, Steam And Air Conditioning Supply",2017,1.8,8.9,,90,170,4206,1120,2374,9665,1310,18934
130,"Water Supply; Sewerage, Waste Management And Remediation Activities",2017,0.7,2.6,,,,4356,3555,4293,1472,885,14562
131,Construction,2017,5.6,8.5,,3133,4359,27638,17896,66198,43845,4840,167910
132,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2017,7.4,5.7,431,1381,4910,13893,35886,90247,93506,10504,250758
133,Transportation And Storage,2017,7.5,7.2,710,586,953,10730,9189,30796,33402,1530,87895
134,Accommodation And Food Service Activities,2017,0.7,14.3,238,157,610,9671,16178,29350,21279,2296,79780
135,Information And Communication,2017,1.3,11.0,748,971,1491,7084,13327,52922,36891,3699,117133
136,Financial And Insurance Activities,2017,7.1,2.8,,,1891,8036,2869,9946,44504,7466,74712
137,Real Estate Activities,2017,0.8,6.1,244,336,200,369,713,1219,1010,130,4220
138,"Professional, Scientific And Technical Activities",2017,0.9,4.5,1739,3511,1054,6776,15640,20497,22895,1710,73823
139,Administrative And Support Service Activities,2017,3.6,3.0,114,204,566,853,1733,1304,787,193,5754
140,Public Administration And Defence; Compulsory Social Security,2017,4.0,6.5,1510,1850,24476,26544,15634,124197,91552,6831,292594
141,Education,2017,1.5,5.1,1231,4532,14966,3435,58961,137885,282385,56221,559617
142,Human Health And Social Work Activities,2017,0.1,4.3,,897,8090,11333,57963,47080,11390,6005,142759
143,"Arts, Entertainment And Recreation",2017,0.6,7.0,,46,844,1423,2241,1170,864,542,7129
144,Other Service Activities,2017,0.4,7.0,,527,1056,4287,10758,10743,6627,693,34691
145,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2017,-2.0,1.6,,315,907,9534,22437,39039,43133,,115365
146,Activities Of Extraterritorial Organizations And Bodies,2017,8.3,4.8,,,,226,110,336,348,256,1276
147,"Agriculture, Forestry And Fishing",2018,34.2,6.4,11174,4391,11212,17399,25218,167268,97014,2931,336607
148,Mining And Quarrying,2018,0.8,2.8,263,253,4567,1804,2838,3224,2415,,15364
149,Manufacturing,2018,7.7,4.2,1100,1326,9203,12758,73061,108127,95899,6117,307592
150,"Electricity, Gas, Steam And Air Conditioning Supply",2018,1.8,10.5,,91,171,4245,1131,2396,9756,1322,19112
151,"Water Supply; Sewerage, Waste Management And Remediation Activities",2018,0.7,1.6,,,,4493,3667,4428,1518,913,15020
152,Construction,2018,5.4,6.6,,3449,4454,20007,18285,45173,75251,4946,171565
153,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2018,7.4,6.3,547,2203,5100,14473,7020,48082,172093,10909,260426
154,Transportation And Storage,2018,8.0,8.8,1062,605,983,11066,20822,31760,22773,1578,90647
